metric_id,date,employee_email,sales_total,piercing_sales,esa_sales,piercings_count,esa_count,upt,avg_ticket
IM_001,2026-07-01,cc_assoc1@banter.com,1250,120,180,3,2,1.8,208.33
IM_002,2026-07-01,cc_assoc2@banter.com,890,60,120,2,1,1.5,178.00
IM_003,2026-07-01,cc_piercer@banter.com,0,480,0,12,0,1.0,40.00
IM_004,2026-07-01,brandy.a@banter.com,1620,90,240,2,3,2.1,231.43
IM_005,2026-07-01,pm_assoc1@banter.com,1050,90,150,2,2,1.7,175.00
IM_006,2026-07-01,pm_assoc2@banter.com,720,45,100,1,1,1.5,144.00
IM_007,2026-07-01,pm_piercer@banter.com,0,360,0,9,0,1.0,40.00
IM_008,2026-07-01,gina.g@banter.com,1480,60,200,1,2,1.9,246.67
IM_009,2026-07-01,aurora_assoc1@banter.com,980,60,140,2,1,1.6,163.33
IM_010,2026-07-01,aurora_assoc2@banter.com,650,30,80,1,1,1.4,130.00
IM_011,2026-07-01,hannah.f@banter.com,1350,45,180,1,2,1.8,192.86
IM_012,2026-07-01,chapel_assoc1@banter.com,860,45,120,1,1,1.5,143.33
IM_013,2026-07-01,chapel_assoc2@banter.com,540,0,60,0,1,1.3,135.00
IM_014,2026-07-01,steven.v@banter.com,1180,30,150,1,1,1.7,168.57
